split,sequence,method,num_frames,psnr,ssim,sharpness,tde
calibration,011,RGB-HF-b0.60-s0.3,4,23.545136044601552,0.6460672666629156,0.001954036095412448,0.06459963321685791
calibration,000,RGB-HF-b0.60-s0.4,4,27.21887354401816,0.7689971824487051,0.0015850549098104239,0.040746767073869705
calibration,003,RGB-HF-b0.60-s0.4,4,30.344938470847847,0.8969779511292776,0.001858125877333805,0.026316797360777855
calibration,006,RGB-HF-b0.60-s0.4,4,29.618908522473554,0.8164528012275696,0.0008959335100371391,0.0296973567456007
calibration,010,RGB-HF-b0.60-s0.4,4,31.40657080131138,0.8768395781517029,0.0007105890399543568,0.021854454651474953
calibration,011,RGB-HF-b0.60-s0.4,4,23.546163312002683,0.6455490589141846,0.0019094460003543645,0.06462303549051285
calibration,000,RGB-HF-b0.60-s0.5,4,27.21169123699216,0.7682662755250931,0.0014261275937315077,0.04083327576518059
calibration,003,RGB-HF-b0.60-s0.5,4,30.340499321039964,0.8970929135878881,0.001683731155935675,0.026345672085881233
calibration,006,RGB-HF-b0.60-s0.5,4,29.61253150906852,0.8160553574562073,0.0008114122465485707,0.029747189953923225
calibration,010,RGB-HF-b0.60-s0.5,4,31.392211724421788,0.876756876707077,0.0006455153343267739,0.021925166249275208
calibration,011,RGB-HF-b0.60-s0.5,4,23.540849552945428,0.6441784650087357,0.0017255116545129567,0.064717598259449
calibration,000,RGB-HF-b0.60-s0.8,4,27.110709771235157,0.7631531755129496,0.0011227681825403124,0.04148326814174652
calibration,003,RGB-HF-b0.60-s0.8,4,30.181810045555267,0.8940908759832382,0.001347656361758709,0.026940522715449333
calibration,006,RGB-HF-b0.60-s0.8,4,29.51475019920599,0.8120887726545334,0.0006462264718720689,0.030173450708389282
calibration,010,RGB-HF-b0.60-s0.8,4,31.27141561462488,0.8740810851256052,0.0005135171668371186,0.022334584966301918
calibration,011,RGB-HF-b0.60-s0.8,4,23.483215983685774,0.6377842873334885,0.0013757935957983136,0.06535715609788895
test,018,RGB-HF-b0.60-s0.4,4,24.633901990399274,0.6252921919027965,0.0014191993686836213,0.061175405979156494
test,020,RGB-HF-b0.60-s0.4,4,27.370505801962473,0.7868346323569615,0.0010852031264221296,0.03867172822356224
test,026,RGB-HF-b0.60-s0.4,4,32.906835956171584,0.878482570250829,0.0007053514418657869,0.019601769745349884
test,028,RGB-HF-b0.60-s0.4,4,33.55855070766017,0.9114240308602651,0.001116534898756072,0.01850474439561367
test,029,RGB-HF-b0.60-s0.4,4,34.443956668418664,0.9363920042912166,0.0006614779849769548,0.01548669021576643
