split,sequence,frame,method,psnr,ssim,sharpness
calibration,003,00000020,RGB-HF-b0.10-s0.3,31.4411253691236,0.9133157134056091,0.0017668255604803562
calibration,003,00000040,RGB-HF-b0.10-s0.3,30.594081165904786,0.9028810262680054,0.0015275629702955484
calibration,003,00000060,RGB-HF-b0.10-s0.3,29.96854322334379,0.890177845954895,0.0019305561436340213
calibration,003,00000080,RGB-HF-b0.10-s0.3,29.32404885151108,0.8797802130381266,0.002375307260081172
calibration,006,00000020,RGB-HF-b0.10-s0.3,30.986462889905116,0.8515569567680359,0.000684056431055069
calibration,006,00000040,RGB-HF-b0.10-s0.3,29.821204831480927,0.8261053562164307,0.0008060049149207771
calibration,006,00000060,RGB-HF-b0.10-s0.3,30.25123201935283,0.8333722750345866,0.0007824591593816876
calibration,006,00000080,RGB-HF-b0.10-s0.3,27.397982338396165,0.7544835805892944,0.0013742102310061455
calibration,010,00000020,RGB-HF-b0.10-s0.3,32.08371349839727,0.8895559509595236,0.0007593049667775631
calibration,010,00000040,RGB-HF-b0.10-s0.3,31.340249583592843,0.8724681536356608,0.0007081700605340302
calibration,010,00000060,RGB-HF-b0.10-s0.3,30.91717388462812,0.866791844367981,0.0006980593898333609
calibration,010,00000080,RGB-HF-b0.10-s0.3,31.282502364145728,0.8775912125905355,0.0007275896496139467
calibration,011,00000020,RGB-HF-b0.10-s0.3,24.565296952356547,0.690035363038381,0.0020151196513324976
calibration,011,00000040,RGB-HF-b0.10-s0.3,23.88940820204607,0.659122884273529,0.002031863434240222
calibration,011,00000060,RGB-HF-b0.10-s0.3,22.985300773792016,0.6168243487675985,0.001969406381249428
calibration,011,00000080,RGB-HF-b0.10-s0.3,22.739622940675698,0.6184347073237101,0.0018001323333010077
calibration,000,00000020,RGB-HF-b0.10-s0.4,27.3377573259748,0.7373533844947815,0.0013565069530159235
calibration,000,00000040,RGB-HF-b0.10-s0.4,27.007889398893536,0.7757466236750284,0.0015310781309381127
calibration,000,00000060,RGB-HF-b0.10-s0.4,27.385413581399725,0.7835352619489034,0.0018790231551975012
calibration,000,00000080,RGB-HF-b0.10-s0.4,27.131867738718416,0.7797677914301554,0.0017197515117004514
calibration,003,00000020,RGB-HF-b0.10-s0.4,31.442967432951356,0.9133886297543844,0.0017662582686170936
calibration,003,00000040,RGB-HF-b0.10-s0.4,30.594564371923603,0.902934730052948,0.0015269896248355508
calibration,003,00000060,RGB-HF-b0.10-s0.4,29.97379263488712,0.890287180741628,0.0019302236614748836
calibration,003,00000080,RGB-HF-b0.10-s0.4,29.327404534118124,0.8798798521359762,0.002375309821218252
calibration,006,00000020,RGB-HF-b0.10-s0.4,30.987197718492766,0.8515859643618265,0.0006831299979239702
calibration,006,00000040,RGB-HF-b0.10-s0.4,29.82246263505195,0.8261369268099467,0.0008053127094171941
calibration,006,00000060,RGB-HF-b0.10-s0.4,30.253004460306666,0.8334310253461202,0.0007818429730832577
calibration,006,00000080,RGB-HF-b0.10-s0.4,27.39871389011647,0.75446484486262,0.001374104875139892
calibration,010,00000020,RGB-HF-b0.10-s0.4,32.084226538247,0.8895924091339111,0.0007581308018416166
calibration,010,00000040,RGB-HF-b0.10-s0.4,31.34046367069619,0.8725140889485677,0.0007071783766150475
calibration,010,00000060,RGB-HF-b0.10-s0.4,30.91805104185024,0.8668564160664877,0.0006969973328523338
calibration,010,00000080,RGB-HF-b0.10-s0.4,31.283053289920403,0.8776400287946066,0.0007265621679835021
calibration,011,00000020,RGB-HF-b0.10-s0.4,24.56553245203859,0.6899723410606384,0.002015115926042199
calibration,011,00000040,RGB-HF-b0.10-s0.4,23.889771211044692,0.6590587695439657,0.0020318101160228252
