split,sequence,method,num_frames,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae,tde
test,029,FUGR-C,4,34.4297411967602,0.9361320038636526,0.0007094573666108772,28.410468849090705,40.52494621925138,0.006140931625850499,0.015481978344420591
test,018,ControlNet-FUGR,4,19.199586809339156,0.33940865596135456,0.0013066766550764441,16.563057267630843,20.217102325574395,0.030654436443001032,0.11677666753530502
test,020,ControlNet-FUGR,4,21.49123488820258,0.5822085539499919,0.0008179112192010507,17.037923003684146,24.066433378103437,0.018620632123202085,0.0803504263361295
test,026,ControlNet-FUGR,4,24.917863750293023,0.7054219643274944,0.000471821564133279,20.731550992464374,27.177375361292473,0.009935662616044283,0.05357897529999415
test,028,ControlNet-FUGR,4,24.442122414071765,0.7446321845054626,0.0007870748813729733,19.71191244322867,27.417526226353427,0.009818066842854023,0.05694334705670675
test,029,ControlNet-FUGR,4,25.274015563772508,0.7741524328788122,0.0005270882465993054,20.249338414602327,28.709045071270893,0.008184012142010033,0.05155092974503835
test,018,FreqFusion-selected-b0.60-s0.4,4,24.633901990399274,0.6252921919027965,0.0014191993686836213,21.46397039412396,25.99629864121899,0.027574367355555296,0.06117540722091993
test,020,FreqFusion-selected-b0.60-s0.4,4,27.370505801962473,0.7868346323569615,0.0010852031264221296,22.202569684112575,31.05610194299338,0.016322449781000614,0.03867172822356224
test,026,FreqFusion-selected-b0.60-s0.4,4,32.906835956171584,0.878482570250829,0.0007053514418657869,27.959227809132962,36.20123435061748,0.008084704517386854,0.019601769124468166
test,028,FreqFusion-selected-b0.60-s0.4,4,33.55855070766017,0.9114240308602651,0.001116534898756072,28.061850005643826,38.13155982999212,0.007350785774178803,0.018504743774731953
test,029,FreqFusion-selected-b0.60-s0.4,4,34.443956668418664,0.9363920042912166,0.0006614779849769548,28.419856504079984,40.55999163827487,0.006089629488997161,0.015486689284443855
test,018,FreqFusion-expandedbest-b0.30-s0.5,4,24.63447660738933,0.6250563462575277,0.0013986999401822686,21.464870969295134,25.996638313911618,0.02756903599947691,0.06117552891373634
test,020,FreqFusion-expandedbest-b0.30-s0.5,4,27.369457949873773,0.7867300311724345,0.0010675514786271378,22.201050923260258,31.055982269757717,0.016317955683916807,0.038682022442420326
test,026,FreqFusion-expandedbest-b0.30-s0.5,4,32.91081561800303,0.8785119156042734,0.0006945087370695546,27.962405198749263,36.206607032896,0.008073723409324884,0.019598813106616337
test,028,FreqFusion-expandedbest-b0.30-s0.5,4,33.557795488712145,0.911475345492363,0.0010983042884618044,28.05719166690328,38.141369482325324,0.007341104676015675,0.01851070299744606
test,029,FreqFusion-expandedbest-b0.30-s0.5,4,34.44512542454866,0.9364086041847866,0.0006518083973787725,28.419980026149947,40.56572230651633,0.006079959683120251,0.01549114721516768
