split,sequence,frame,method,psnr,ssim,sharpness,edge_psnr,flat_psnr,hf_mae
all40,020,00000040,FUGR-C,26.863106362798487,0.781760017077128,0.001324745244346559,21.70039975372942,30.536159817460916,0.017226601019501686
all40,020,00000060,FUGR-C,27.03628365257479,0.7769736647605896,0.001182482810690999,21.926913321656805,30.60902133084522,0.017113225534558296
all40,020,00000080,FUGR-C,27.19416971317155,0.7834069728851318,0.00117912283167243,22.06766971449958,30.79908096520507,0.016750752925872803
all40,026,00000020,FUGR-C,32.078838152306936,0.8629839817682902,0.000806130759883672,27.031938430582954,35.5392286111113,0.009003783576190472
all40,026,00000040,FUGR-C,33.39984172168541,0.8842505017916361,0.0007205284782685339,28.589693311966712,36.4692083313191,0.007788681425154209
all40,026,00000060,FUGR-C,32.48144795377745,0.873287558555603,0.0007718795095570385,27.455043263504866,35.905806229914106,0.008305516093969345
all40,026,00000080,FUGR-C,33.587138914856176,0.8922520279884338,0.0007420809124596417,28.69172787244561,36.7906628470098,0.007457409054040909
all40,028,00000020,FUGR-C,33.430145399864855,0.9301252166430155,0.0011084791040048003,27.314183943128466,39.85482205206416,0.006731642875820398
all40,028,00000040,FUGR-C,32.96123635238958,0.8800636728604635,0.0011261238250881433,27.861802355414625,36.51573215960623,0.008753657341003418
all40,028,00000060,FUGR-C,33.01051159576626,0.8999343315760294,0.0014152047224342823,27.745221958884898,36.8869846420974,0.00811013113707304
all40,028,00000080,FUGR-C,34.79527115527179,0.9339545567830404,0.0011710110120475292,29.34276933565597,39.0859401801859,0.006025135051459074
all40,029,00000020,FUGR-C,35.26760631867508,0.9388843576113383,0.0007770649972371757,29.539300079794813,40.28360544230725,0.005989115685224533
all40,029,00000040,FUGR-C,33.64552856265842,0.9315985441207886,0.0009029259672388434,27.660539602945672,39.53050833300101,0.006701762787997723
all40,029,00000060,FUGR-C,33.45307753627975,0.9322272141774496,0.0006244339747354388,27.23395033888165,40.375697114407245,0.006360791623592377
all40,029,00000080,FUGR-C,35.35275236942755,0.9418178995450338,0.0005334045272320509,29.208085374740676,41.90997398729003,0.005512056406587362
all40,000,00000020,ControlNet-FUGR,21.191851497396065,0.518045961856842,0.0009760935208760202,17.079139572558812,23.37062031815921,0.020553503185510635
all40,000,00000040,ControlNet-FUGR,20.58358016018289,0.531452457110087,0.001196320285089314,16.26395144810354,22.99416427871714,0.02012193575501442
all40,000,00000060,ControlNet-FUGR,20.338844107769837,0.5317176183064779,0.0013025130610913038,16.231474362036966,22.511975593277867,0.02090694196522236
all40,000,00000080,ControlNet-FUGR,20.359063256736984,0.5384962360064188,0.0012071187375113368,16.53559481440467,22.249737949059202,0.021289434283971786
all40,003,00000020,ControlNet-FUGR,22.484741893604028,0.7122291723887125,0.0010422065388411283,17.921063192884727,25.20296890630142,0.012188737280666828
all40,003,00000040,ControlNet-FUGR,22.578577002359804,0.7104429801305135,0.0009385131415911019,17.98185253240915,25.34015002128848,0.012621317058801651
all40,003,00000060,ControlNet-FUGR,22.062690310312174,0.6838924884796143,0.0011557260295376182,17.84689831335507,24.35393782887094,0.013429874554276466
all40,003,00000080,ControlNet-FUGR,21.40854787501315,0.6575731833775839,0.0016797741409391165,17.208037672018012,23.682745654793994,0.015568708069622517
all40,006,00000020,ControlNet-FUGR,23.79103871318521,0.6624594132105509,0.0005556420073844492,19.3059309494317,26.405301548706426,0.012343065813183784
all40,006,00000040,ControlNet-FUGR,22.874792074135243,0.6104065179824829,0.0006284618866629899,18.84441182854315,24.968198296155993,0.014489073306322098
all40,006,00000060,ControlNet-FUGR,23.202620866532705,0.6204725305239359,0.0005863240803591907,19.15240673401096,25.316252192444427,0.013511513359844685
all40,006,00000080,ControlNet-FUGR,20.822702022295406,0.502142588297526,0.0011177610140293837,17.311982390502706,22.440950158084906,0.021667413413524628
all40,010,00000020,ControlNet-FUGR,25.197604240154632,0.7387901743253072,0.0005073839565739036,20.59440783859188,27.968239700474015,0.010381259024143219
all40,010,00000040,ControlNet-FUGR,24.554914109268992,0.7037202914555868,0.0005597364506684244,19.849544573703785,27.469131611832687,0.011386629194021225
all40,010,00000060,ControlNet-FUGR,24.742776169412345,0.7090350389480591,0.0005063010030426085,19.952087531193243,27.782575471322822,0.011195985600352287
all40,010,00000080,ControlNet-FUGR,24.66891158516482,0.7124299804369608,0.0005254285060800612,19.91332208186855,27.65672050541653,0.011056911200284958
all40,011,00000020,ControlNet-FUGR,19.403101017940642,0.4552909731864929,0.001448485185392201,16.016232493864276,20.92303899732181,0.02956659346818924
all40,011,00000040,ControlNet-FUGR,19.00240888397685,0.42310372988382977,0.0016118130879476666,15.828539012136355,20.36442727145531,0.0322946161031723
all40,011,00000060,ControlNet-FUGR,18.746470121073948,0.3945892850557963,0.0014783572405576706,15.743074249128952,19.991415658567394,0.03583208844065666
all40,011,00000080,ControlNet-FUGR,18.739580928111014,0.4059193233648936,0.0013293875381350517,15.671692568301498,20.0279597916401,0.03606884554028511
